Country;GDP Capita;Education Index;Corruption Score;Vaccination Rate (p%);Political Stability Index;Crop Production Index;Percentage of Export (%);Poverty Rate;Road Density  (km/100 km2);Global Food Security Index (GSFI)
Finland;49964.49991;0.905;89;78.42;98;106.4;16.85249559;12.2;135;825
Ireland;79068.97461;0.918;73;80.72;86;88.1;46.47980049;13.1;142;817
Norway;82267.80932;0.915;85;74.61;11;102.2;15.49401275;12.7;56.2331483;805
France;41572.48501;0.84;69;78.3;37;98.9;42.41446769;13.6;191;802
Netherlands;53018.62936;0.906;83;68.08;92;100.7;83.698234;13.6;332;801
Japan;39808.16856;0.848;72;83.07;103;96.4;1.25981869;15.7;93;795
Sweden;54589.06039;0.904;88;72.31;103;105.2;27.31550923;17.1;127;791
Canada;46548.52036;0.899;82;82.3;94;104.2;62.40361617;11.6;10;791
United Kingdom;43646.95197;0.914;81;75.19;54;99.7;18.78517971;18.6;175;788
Portugal;23551.04829;0.759;62;86.44;95;114.8;49.56430439;17.2;72.57168729;787
Switzerland;86388.40495;0.897;86;68.77;113;97.8;34.5226028;16;204;782
Austria;51461.43322;0.852;75;76.32;91;98.1;65.53513364;13.3;151;781
United States;63064.41841;0.903;74;68.61;0;92;22.95267685;17.8;64;780
Denmark;61591.92887;0.92;90;81.09;95;103.7;97.6053072;12.5;171;778
New Zealand;43306.07;0.917;90;79.75;144;105.3;89.01379425;10;36;778
Czech Republic;23419.73561;0.893;55;65.67;96;87.5;73.93120525;10.1;71;777
Belgium;47519.5531;0.893;77;78.62;61;100;11.23904823;14.8;388;775
Costa Rica;12485.4239;0.719;58;81.45;87;104.9;44.28240705;21;10;774
Germany;47950.18081;0.94;81;76.17;76;88.2;42.91011368;14.8;180;770
Spain;30349.7521;0.824;58;85.49;58;102;36.27360534;20.7;135;757
Poland;15468.48222;0.866;62;56.68;51;92.2;27.25472848;15.4;136;755
Australia;57180.7794;0.929;79;83.22;85;82.7;35.9802635;12.4;11;754
Israel;42063.45313;0.874;64;65.16;-106;96.3;12.98903889;16.9;89;748
Chile;15888.14436;0.8;66;90.24;6;109.1;23.75808393;8.6;10.46370566;742
China;9905.342004;0.644;40;89.22;-48;107.9;1.529868941;0.6;54;742
Italy;34605.26273;0.791;47;81.26;58;92.9;30.06840769;20.1;162;740
Singapore;66679.04649;0.832;84;90.9;149;107.4;9.081230814;11;489;731
Bulgaria;9446.700772;0.805;41;30.58;46;110.9;73.35077394;23.8;18;730
Qatar;65907.94844;0.698;61;105.68;96;123.2;2.567507747;0.1;61;724
Greece;19747.34258;0.838;44;73.58;15;75.4;41.14768012;17.9;89;722
Kazakhstan;9812.626371;0.814;29;54.67;-25;107.9;23.0092477;4.3;4;721
Uruguay;18703.86029;0.733;71;84.56;105;97.1;53.89703891;8.8;44;718
Hungary;16427.37276;0.815;48;62.26;86;93.8;63.04132124;12.3;227;714
Oman;18947.3665;0.706;45;66.62;51;136.8;44.68503196;48.2;56.2331483;712
Slovakia;21,087.85;0.831;51;45.68;56;93.5;65.36581979;0.1;80;711
Peru;6957.793411;0.689;35;83.14;-41;115.7;7.543868;20.2;11;708
Bahrain;24085.95599;0.758;43;83.31;-51;97.8;51.23356658;3.2;537;703
Panama;15544.99908;0.692;38;71.66;29;101.2;14.96402178;22.1;20.36185096;700
Saudi Arabia;23337.01755;0.787;46;69.55;-58;140.2;18.36187569;12.7;10;699
Malaysia;11380.08209;0.719;49;81.1;14;102.3;22.24229533;5.6;72;699
Russia;$11,536 ;0.832;29;53.82;-65;111.5;25.29082309;12.6;9;691
Mexico;9686.984927;0.678;30;64.19;-64;112.3;10.74018623;41.9;42;691
Romania;12398.98198;0.762;48;41.28;53;123.8;45.21415694;23.8;36;688
Vietnam;2566.447487;0.626;33;86.01;-11;105.3;16.23978742;6.7;172;679
Jordan;4308.151074;0.711;48;40.39;-28;87.2;32.61344051;15.7;8;662
Ecuador;6295.934662;0.697;31;78.26;-27;97.2;26.81548343;25;17;656
Turkey;9454.348443;0.689;41;62.3;-11;109.2;28.57;14.4;56;653
Kuwait;33399.06044;0.62;41;78.26;3;107.1;18.71611901;33.5;32;652
Brazil;9151.381732;0.686;40;80.05;-49;110.1;15.22069894;26.5;23;651
Bolivia;3548.59078;0.687;33;50.4;-32;107.9;43.1098;37.2;14.18942888;650
Argentina;11795.15939;0.816;36;83.19;-11;113.7;45.10378425;35.5;10;648
Belarus;6360.062473;0.838;40;67.2;-74;96.1;13.63738848;5;42.6643019;645
El Salvador;4052.624775;0.58;36;68.56;-21;106.3;13.64440144;22.8;43;642
Morocco;3226.982794;0.529;37;62.76;-4;107.1;10.15434584;4.8;12.8388976;630
Guatemala;4478.424646;0.514;28;39.22;-39;103.5;17.05558329;59.3;16;628
South Africa;7005.095413;0.708;45;32.56;-71;104.7;17.0785842;55.5;61;617
Honduras;2492.868968;0.502;30;54.68;-61;118.7;21.26340173;48.3;13;615
Serbia;7252.401858;0.778;42;47.71;-13;108;34.29496637;23.2;8.655793902;614
Tunisia;3680.892597;0.659;41;51.67;-7;108;5.393898214;15.2;12;603
Indonesia;3893.859578;0.622;37;62.09;-51;102.5;7.620323615;9.4;28;602
Thailand;7296.879608;0.661;35;74.6;-55;99.8;18.79589222;9.9;137;601
Colombia;6729.583332;0.676;37;70.91;-91;103.5;6.50761865;35.7;18;601
Azerbaijan;4739.84171;0.709;30;46.94;-85;129.2;6.691474462;6;30.22650824;598
Philippines;3252.110274;0.661;35;63.62;-93;102;3.835456287;16.7;72;593
Algeria;4142.018558;0.664;34;14.43;-88;121;2.247169557;5.5;4;589
India;1996.915087;0.556;40;67.07;-62;112.7;3.525664929;21.9;194;589
Paraguay;5782.78455;0.631;30;51.98;0;100.9;39.34707682;23.5;19.83664737;586
Ukraine;3096.561697;0.794;29;38.17;-11;112.8;47.32913699;1.1;28;579
Uzbekistan;1597.068337;0.718;21;50.62;-24;99.5;5.804779696;14.1;47;575
Nepal;1178.525932;0.502;29;77.31;-24;110.7;1.222422582;25.2;19;569
Tajikistan;853.2188734;0.659;25;51.45;-61;133.1;2.937537539;26.3;21;567
Nicaragua;2014.575189;0.558;26;83.84;-47;126.9;12.68574209;24.9;18;566
Egypt;3,876.36;0.604;34;36;-102;104.8;6.709297235;32.5;6.534733035;560
Cambodia;1512.126989;0.487;21;86.93;-13;122.7;9.365112668;17.7;30;557
Sri Lanka;4059.20823;0.749;36;67.57;-32;104.3;7.677544716;4.1;174;552
Bangladesh;1698.132081;0.508;26;72.63;-97;109.5;0.461258917;24.3;250;540
Laos;2,614.00;0.484;30;69.36;73;97.9;3.637454461;18.3;17;531
Kenya;1794.091175;0.551;26;19.55;-109;112.3;4.94641423;36.1;30;530
Ghana;2260.860567;0.558;43;26.16;7;118.6;3.476410644;23.4;46;526
Pakistan;1482.213067;0.411;32;56.04;-167;104.1;4.846573434;24.3;33;522
Mali;894.8047765;0.293;32;9.56;-235;128.5;5.631139406;42.1;11;519
Senegal;1458.069093;0.368;45;7.29;-17;168.9;5.070191368;46.7;8;512
Botswana;7503.878588;0.659;60;52.4;98;119.5;23.89739263;19.3;5;511
Rwanda;783.6371628;0.45;54;67.36;17;127.9;3.872910297;38.2;18;506
Burkina Faso;804.5005378;0.286;42;11.72;-164;116.6;7.026634962;41.4;6;496
Tanzania;1042.838756;0.441;32;39.39;-44;101.9;4.790000361;26.4;9;491
Benin;1241.825298;0.471;36;20.17;-3;109.4;5.72836408;38.5;14;481
Malawi;544.5934354;0.451;31;14.8;-11;124.1;1.688371283;51.5;13;481
Uganda;770.6007843;0.525;25;27.02;-86;98.3;5.979513114;21.4;60;477
Mozambique;503.3179252;0.385;27;41.17;-123;128.4;5.003677813;46.1;4;473
Cameroon;1585.240534;0.547;26;4.61;-141;108.2;2.370954038;37.5;16.41365742;464
Niger;570.723922;0.214;35;19.75;-162;121.3;2.13831758;40.8;1;463
Togo;901.5230169;0.506;32;16.41;-8;108.9;10.16423865;55.1;21;462
Guinea;955.1112811;0.339;27;22.92;-97;126.6;1.097677842;43.7;16.27472938;451
Ethiopia;771.5248663;0.327;34;29.75;-207;109.8;1.946254103;23.5;11;445
Angola;3289.643995;0.498;18;21.96;-71;110.8;0.637696261;32.3;2.085505735;437
Zambia;1516.368371;0.58;38;40.92;6;114.4;5.946519859;54.4;9;435
Chad;726.1510071;0.298;20;20.42;-134;111.3;3.123228679;42.3;3;432
Democratic Republic of Congo;560.8073582;0.526;21;3.76;-61;110.4;1.027789809;63.9;6.721201562;430
Sudan;740.746767;0.328;14;9.68;-194;124.3;9.114266801;46.5;0.1;428
Venezuela;16,055.65;0.741;17;50.48;-153;97;0.39682167;33.1;19.62918416;426
Nigeria;2027.778549;0.483;28;22.11;-178;106.9;0.534904564;40.1;21;420
Burundi;238.783467;0.424;20;0.18;-136;151.7;0.961295203;64.9;44;406
Madagascar;523.9459714;0.498;26;5.91;-64;106.9;1.030988088;70.7;5;406
Sierra Leone;533.9915333;0.39;30;32.74;-16;104.6;0.801654338;56.8;16;405
Yemen;690.76;0.349;14;2.01;-259;101.4;7.385083167;48.6;62.36436322;401
Haiti;1479.345827;0.433;20;2.04;-11;89.1;0.455590263;58.5;15;385
Syria;1265.61;0.412;13;9.51;-266;140.2;12.69293874;35.2;2.758974359;363
